almond,black,blue,brown,copper,coral,aquamarine,gold,gray,green,magenta,maroon,orange,purple,red,silver,violet,yellow,beige,aqua,cyan,navy,lime,azure,chocolate,indigo,oceanblue,plum,seagreen,turquoise,solver
3997.347721,0.0240474,0.2571428571,1,13663,0.0591,267,0.2521,3830,0.046715418,0.961482966,6.38,1,12.6159,0.074736842,0.0456,49.44,17.64,26770,0.05,1032,12.61588181,0.00182,26770,6.38,0.391337586,25.21,9.83,0.9556786704,0.253167868,robin
4063.740458,0.996336996,0.9816666,1,17587,0.9963,37,0.0672,6,2.191603269,0,20.1,0.9656911906,64.4212,0.017151152,0.9963,272,80.62,37128,1,323,64.42124542,0.09902,37128,20.1,1.912030169,6.72,16.8,0.0036630037,0.067179487,robin
4100.98725,0.023609758,0.2608695652,1,10790,0.031,503,0.2423,3490,0.023414998,0.974301808,3.85,1,7.95723,0.025892906,0.0232,31.4,11.15,21286,0.02,1323,7.957227139,0.00234,21286,3.85,0.393488551,24.23,9.84,0.9786135693,0.25871819,robin
4296.746389,0.045647968,0.6923076923,1,2468,0.056,505,0.2668,984,0.039168,0.950328328,2.61,1,4.936,0.049949309,0.0384,19.22,6.94,4805,0.04,479,4.936,0.01033,4805,2.61,4.615384615,26.68,9.61,1,0.252051181,robin
5262.249448,0.016248235,0.2647058824,1,6687,0.0311,658,0.2587,2416,0.023847827,0.976830051,3.27,1,6.30254,0.0096,0.0236,25.05,8.8,13289,0.02,1034,6.302544769,0.00369,13289,3.27,0.82200163,25.87,10.04,1,0.233550312,robin
5595.888588,0.023152862,0.3529411765,1,6085,0.0352,513,0.2605,2172,0.025957207,0.975928815,3.26,1,6.3057,0.054444444,0.0257,24.77,8.86,11953,0.03,939,6.305699482,0.00414,11953,3.26,0.971715153,26.05,9.71,1,0.242320764,robin
6067.299693,0.043084444,0.266666,1,6165,0.0228,549,0.2336,2471,0.016376674,0.976367969,2.35,1,5.01627,0.069337566,0.0162,19.97,7.01,12271,0.02,1208,5.016273393,0.00403,12271,2.35,0.767661158,23.36,10.03,0.983726607,0.24722695,robin
8410.65966,0.357257233,0.9976470588,1,25763,0.7943,180,0.1034,6,0.485509314,0.642331654,21.85,0.7666461823,29.6126,0.071652299,0.3573,310.81,43.96,135204,0.36,558,29.61264368,0.09151,135204,21.85,0.212473558,10.34,21.66,0.6965517241,0.103440162,robin
8410.65966,0.357257233,0.9976470588,1,25763,0.7943,180,0.1034,6,0.485509314,0.642331654,21.85,0.7666461823,29.6126,0.071652299,0.3573,310.81,43.96,135204,0.36,558,29.61264368,0.09151,135204,21.85,0.212473558,10.34,21.66,0.6965517241,0.103440162,parrot
9475.205479,0.061494311,0.195,1,4197,0.1977,59,0.0555,444,0.064833957,0.938388557,0.95,1,7.97909,0.1,0.0615,32.35,11.1,8507,0.06,492,7.979087452,0.00777,8507,0.95,2.670266423,5.55,10.36,0.8536121673,0.055513308,robin
9960.953064,0.02801712,1,1,179324,0.0604,5020,0.502,37252,0.02869712,0.971977275,36.01,1,35.8648,0.076923077,0.028,140.09,50.2,350214,0.03,4858,35.8648,0.00014,350214,+AC0-50.16,0.00644103,50.2,9.77,0.951,0.50196,robin
10304.06439,0.062427236,0.4929032258,1,8192,0.3517,29,0.037,136,0.244556045,0.937408482,1.72,1,21.5013,0.064412238,0.0624,23.78,28.66,4531,0.06,356,21.50131234,0.01318,4531,1.72,2.221913129,3.7,3.32,1,0.036975701,robin
11242.06321,0.467703552,0.8775,1,45713,0.8619,156,0.0831,6,0.685811756,0.531795158,26.61,0.9656911906,48.9433,0.04,0.4677,436.84,66.46,204002,0.47,496,48.94325482,0.06263,204002,26.61,0.150978469,8.31,24.93,0.7152034261,0.083080835,robin
14384.34983,0.03776,0.05,1,619,0.1,9,0.01738,125,0.03888,0.962088353,10.23,1,2.476,0.073349227,0.0378,9.44,3.48,1180,0.04,239,2.476,0.04202,1180,0.08,36.92307692,1.74,9.44,0.968,0.01738,robin
16956.39309,0.137731517,0.4904478547,1,37103,0.7017,35,0.032,306,0.512126546,0.862014366,4.45,0.9969933775,68.3297,0.07500762,0.1377,74.79,102.25,20305,0.14,467,68.32965009,0.00091,20305,4.45,0.230734228,3.2,2.2,0.9521178637,0.03202332,robin
21774.24175,0.055458049,0.497473766,1,19764,0.5358,20,0.0212,1286,0.48288875,0.94442139,2.36,1,42.872,0.026666667,0.0555,25.57,54.48,5893,0.06,434,42.87201735,0.00211,5893,2.36,0.93584598,2.12,2.2,0.9956616052,0.021171805,robin
23110.22775,0.128198072,0.4900920028,1,39952,0.6921,41,0.0295,33,0.378109923,0.871613678,3.8,1,58.5806,0.021901767,0.1282,87.43,83.4,29814,0.13,593,58.58064516,0.00097,29814,3.8,0.199923962,2.95,3.52,0.9369501466,0.029510743,robin
29399.88857,0.504525612,0.321321321,1,26495,0.8713,71,0.0346,5,0.612524654,0.494978296,10.8,0.8220622268,26.0265,0.008573406,0.5045,513.61,34.59,261426,0.5,503,26.02652259,0.23022,261426,10.8,0.259994072,3.46,59.97,0.7829076621,0.034625982,robin
