@relation Master

@attribute almond numeric
@attribute black numeric
@attribute blue numeric
@attribute brown numeric
@attribute copper numeric
@attribute coral numeric
@attribute aquamarine numeric
@attribute gold numeric
@attribute gray numeric
@attribute green numeric
@attribute magenta numeric
@attribute maroon numeric
@attribute orange numeric
@attribute purple numeric
@attribute red numeric
@attribute silver numeric
@attribute violet numeric
@attribute yellow numeric
@attribute beige numeric
@attribute aqua numeric
@attribute cyan numeric
@attribute navy numeric
@attribute lime numeric
@attribute azure numeric
@attribute chocolate {3.09,7.92,7.1,0.82,159.47,3.52,5.92,4.54,8.62,3.31,15.7,3.76,0.03,2.34,5.18,0.8,19.51,2.57,21.22,1.6,1.43,1.25,0.21,6.41,11.89,+AC0-1.54,7.19,43.13,39.98,9.92,8.16,3.11,5.75,2.31,6.38,20.1,3.85,2.61,3.27,3.26,2.35,21.85,0.95,+AC0-50.16,1.72,26.61,0.08,4.45,2.36,3.8,10.8}
@attribute indigo numeric
@attribute oceanblue numeric
@attribute plum numeric
@attribute seagreen numeric
@attribute turquoise numeric
@attribute solver {parrot,chickadee,sparrow,plover,goose,robin,hummingbird,roadrunner,falcon}

@data
8410.65966,0.357257,0.997647,1,25763,0.7943,180,0.1034,6,0.485509,0.642332,21.85,0.766646,29.6126,0.071652,0.3573,310.81,43.96,135204,0.36,558,29.612644,0.09151,135204,21.85,0.212474,10.34,21.66,0.696552,0.10344,parrot
9475.205479,0.061494,0.195,1,4197,0.1977,59,0.0555,444,0.064834,0.938389,0.95,1,7.97909,0.1,0.0615,32.35,11.1,8507,0.06,492,7.979087,0.00777,8507,0.95,2.670266,5.55,10.36,0.853612,0.055513,robin
9960.953064,0.028017,1,1,179324,0.0604,5020,0.502,37252,0.028697,0.971977,36.01,1,35.8648,0.076923,0.028,140.09,50.2,350214,0.03,4858,35.8648,0.00014,350214,+AC0-50.16,0.006441,50.2,9.77,0.951,0.50196,robin
10304.06439,0.062427,0.492903,1,8192,0.3517,29,0.037,136,0.244556,0.937408,1.72,1,21.5013,0.064412,0.0624,23.78,28.66,4531,0.06,356,21.501312,0.01318,4531,1.72,2.221913,3.7,3.32,1,0.036976,robin
11242.06321,0.467704,0.8775,1,45713,0.8619,156,0.0831,6,0.685812,0.531795,26.61,0.965691,48.9433,0.04,0.4677,436.84,66.46,204002,0.47,496,48.943255,0.06263,204002,26.61,0.150978,8.31,24.93,0.715203,0.083081,robin
14384.34983,0.03776,0.05,1,619,0.1,9,0.01738,125,0.03888,0.962088,10.23,1,2.476,0.073349,0.0378,9.44,3.48,1180,0.04,239,2.476,0.04202,1180,0.08,36.923077,1.74,9.44,0.968,0.01738,robin
16956.39309,0.137732,0.490448,1,37103,0.7017,35,0.032,306,0.512127,0.862014,4.45,0.996993,68.3297,0.075008,0.1377,74.79,102.25,20305,0.14,467,68.32965,0.00091,20305,4.45,0.230734,3.2,2.2,0.952118,0.032023,robin
21774.24175,0.055458,0.497474,1,19764,0.5358,20,0.0212,1286,0.482889,0.944421,2.36,1,42.872,0.026667,0.0555,25.57,54.48,5893,0.06,434,42.872017,0.00211,5893,2.36,0.935846,2.12,2.2,0.995662,0.021172,robin
23110.22775,0.128198,0.490092,1,39952,0.6921,41,0.0295,33,0.37811,0.871614,3.8,1,58.5806,0.021902,0.1282,87.43,83.4,29814,0.13,593,58.580645,0.00097,29814,3.8,0.199924,2.95,3.52,0.93695,0.029511,robin
29399.88857,0.504526,0.321321,1,26495,0.8713,71,0.0346,5,0.612525,0.494978,10.8,0.822062,26.0265,0.008573,0.5045,513.61,34.59,261426,0.5,503,26.026523,0.23022,261426,10.8,0.259994,3.46,59.97,0.782908,0.034626,robin
